Date,BTC_Balance,BTC_Price,USD_Value_Billions
2022-05-09,42530,30076.9,1.279170557
2022-05-10,313,31013.12,0.009707106560000001
2022-05-11,313,29017.21,0.009082386730000001
2022-05-12,313,28915.72,0.00905062036
2022-05-13,313,29244.83,0.009153631790000002
2022-05-14,313,30050.31,0.009405747030000002
2022-05-15,313,31296.11,0.00979568243
2022-05-16,313,29838.5,0.0093394505
2022-05-17,313,30415.91,0.00952017983
2022-05-18,313,28667.29,0.00897286177
2022-05-19,313,30282.48,0.00947841624
2022-05-20,313,29166.15,0.009129004950000002
2022-05-21,313,29410.72,0.009205555360000001
2022-05-22,313,30264.29,0.009472722769999999
2022-05-23,313,29075.68,0.00910068784
2022-05-24,313,29630.05,0.00927420565
2022-05-25,313,29508.27,0.00923608851
2022-05-26,313,29188.71,0.00913606623
2022-05-27,313,28597.33,0.00895096429
2022-05-28,313,29013.53,0.00908123489
2022-05-29,313,29452.23,0.009218547990000001
2022-05-30,313,31716.41,0.00992723633
2022-05-31,313,31782.16,0.00994781608
2022-06-01,313,29789.58,0.00932413854
