date,timestamp,price,market_cap
2021-06-25,1624579200,5.055,0
2021-06-26,1624665600,5.208,0
2021-06-27,1624752000,5.419,0
2021-06-28,1624838400,5.532,0
2021-06-29,1624924800,6.006,0
2021-06-30,1625011200,6.559,0
2021-07-01,1625097600,5.9,0
2021-07-02,1625184000,5.72,0
2021-07-03,1625270400,5.806,0
2021-07-04,1625356800,5.971,0
2021-07-05,1625443200,6.023,0
2021-07-06,1625529600,6.533,0
2021-07-07,1625616000,7.101,0
2021-07-08,1625702400,6.706,0
2021-07-09,1625788800,8.093,0
2021-07-10,1625875200,7.896,0
2021-07-11,1625961600,8.436,0
2021-07-12,1626048000,7.888,0
2021-07-13,1626134400,7.113,0
2021-07-14,1626220800,6.937,0
2021-07-15,1626307200,6.666,0
2021-07-16,1626393600,6.576,0
2021-07-17,1626480000,6.495,0
2021-07-18,1626566400,6.498,0
2021-07-19,1626652800,5.968,0
2021-07-20,1626739200,5.861,0
2021-07-21,1626825600,6.619,0
2021-07-22,1626912000,7.345,0
2021-07-23,1626998400,7.886,0
2021-07-24,1627084800,8.492,0
2021-07-25,1627171200,8.258,0
2021-07-26,1627257600,8.519,0
2021-07-27,1627344000,9.513,0
2021-07-28,1627430400,10.97,0
2021-07-29,1627516800,11.05,0
2021-07-30,1627603200,10.86,0
2021-07-31,1627689600,10.73,0
2021-08-01,1627776000,11.96,0
2021-08-02,1627862400,12.34,0
2021-08-03,1627948800,14.76,0
2021-08-04,1628035200,14.53,0
2021-08-05,1628121600,14.58,0
2021-08-06,1628208000,14.52,0
2021-08-07,1628294400,14.59,0
2021-08-08,1628380800,13.39,0
2021-08-09,1628467200,13.95,0
2021-08-10,1628553600,16.72,0
2021-08-11,1628640000,16.99,0
2021-08-12,1628726400,16.59,0
2021-08-13,1628812800,17.8,0
2021-08-14,1628899200,17.34,0
2021-08-15,1628985600,19.28,0
2021-08-16,1629072000,21.94,0
2021-08-17,1629158400,25.3,0
2021-08-18,1629244800,30.78,0
2021-08-19,1629331200,29.42,0
2021-08-20,1629417600,30.64,0
2021-08-21,1629504000,27.55,0
2021-08-22,1629590400,28,0
2021-08-23,1629676800,29.95,0
2021-08-24,1629763200,29.66,0
2021-08-25,1629849600,30.07,0
2021-08-26,1629936000,26.96,0
2021-08-27,1630022400,32.65,0
2021-08-28,1630108800,35.03,0
2021-08-29,1630195200,33.3,0
2021-08-30,1630281600,33.46,0
2021-08-31,1630368000,31.56,0
2021-09-01,1630454400,31.75,0
2021-09-02,1630540800,32.82,0
2021-09-03,1630627200,31.71,0
2021-09-04,1630713600,31.4,0
2021-09-05,1630800000,34.54,0
2021-09-06,1630886400,32.31,0
2021-09-07,1630972800,27.82,0
2021-09-08,1631059200,29.48,0
2021-09-09,1631145600,30.6,0
2021-09-10,1631232000,43.39,0
2021-09-11,1631318400,39.24,0
2021-09-12,1631404800,39.24,0
2021-09-13,1631491200,37.23,0
2021-09-14,1631577600,35.72,0
2021-09-15,1631664000,36.73,0
