name,role,affiliation
Do Kwon,Director,Terraform Labs
Nicholas Platias,Director,Terraform Labs
Kanav Kariya,Member,Jump Crypto
Remi Tetot,Member,Real Vision
Jose Maria Macedo,Member,Delphi Digital
Hashed Representative,Member,Hashed
Dunam,Member,TFL/Validation
