"HolderAddress","Balance","PendingBalanceUpdate"
"0x78aad3b7e06cd91b88c34b9add4559ed8731d59b","363.791593762368833511","No"
"0x1d3bc423bffbbd10e2631164d08c465677220d2f","348.0970487","No"
"0x3f82992356461eb0d35597d445b680afe3bcff1a","340","No"
"0x9866772a9bdb4dc9d2c5a4753e8658b8b0ca1fc3","329.135188826584208702","No"
"0x247c5c2225c44c667920d95827ad93c4845a1609","325.27601891","No"
"0x479298a9de147e63a1c7d6d2fce089c7e64083bd","323.721","No"
"0xa409ca74927bcfcae8efca768c7883cb13d474d9","312.226328732459167242","No"
"0x1b523ee479f746757d2d3380dcfa07c95de5cf09","306.722869726440854548","No"
"0xd72d7082930af459014aa2dccc28c785eae512a4","304.70361253","No"
"0x3a3ab87c554d3387464ae784b213a6d7fdafd116","302.580240523917320049","No"
"0xd49347417b524bb66577569cfe93b0c56eeb3027","300.185432668694624904","No"
"0x904aba31d5a802074a9716bec859054ed39691ea","300.000346967060347637","No"
"0x00d3db562adf7c1c597b78f6d7095d7ea7f8d744","300","No"
"0x881f120f02d753ea861470210693a68f58b7c2d5","295.13495","No"
"0x6bed0918806abcc79d3a5dcaa26ce7b63d38da44","292.258602168777768047","No"
"0x206fd372fb5b05469fcbe07001bff4b94558ddae","292.132779498466596994","No"
"0xf5ed68430c126a0c1e11ada8cac218bb08a2fd53","285.71428571","No"
"0xe74b28c2eae8679e3ccc3a94d5d0de83ccb84705","282.478726654682936082","No"
"0xa66e9d9b33b252bfbe8c5289da9abfc98e41edd1","275","No"
"0x722be624712d90f490110c153dd086c2b9e9d52b","272.499309325549094876","No"
"0xe8c6c9227491c0a8156a0106a0204d881bb7e531","271.655672301487564227","No"
"0xb36bf9160c65634bfbfc735c767e0e2022d9a122","267.38045","No"
"0xd32ed4b9b968ded1dc06d4eec1bc45893ac442b0","255.160773675781255778","No"
"0xaf396a0697c172a7d827742d840f0ae030ab6e36","251.82044695","No"
"0x0594cfc02d5f866266b59e1a78f185ead33350cf","251.33418991","No"
"0x00000834a8a01ecdbfaafeef5dca5a35a66d3a80","250","No"
"0xfedf333969f3c7e84c9699ee664ba525d799490c","249","No"
"0x3e3740ddf791747f6c75a468bc28a64d0080ff7c","247.61947951","No"
"0x8a52affafa6b15cf1496babad7d6d84129a4764f","246.155665055046133248","No"
"0xb7b2fec9b30f4a56d86129921aa9804a7efe080a","245.931159038384223547","No"
"0x36259c16cee069ed03a9c2efe8fcc9b13ad53510","242.7916","No"
"0xe183693e232e5721842f530737b36efdeeb95b06","240.723750471054413","No"
"0x6d348f18c88d45243705d4fdeeb6538c6a9191f1","239.470494186046511628","No"
"0x8a7b211f6e39bc7ba27acc0476636e17b236e1ff","229.117415168244526696","No"
"0x804ab0d608703dd271efdc6d185de2518f5f266f","225.459929766698990912","No"
"0x3ed1be9d49667e5438a5ff0973f71e64178217b6","221.15188526","No"
"0xbaf3605ecbe395fa134a3f4c6a729e53b72e27b7","218.859586772248576488","No"
"0x5c7e07be50970b5aef841810b590d63c1f12471a","216.8007","No"
"0x401392783110ef66eadf92c49e1eb97faa63f443","216.411636562639403952","No"
"0xe1ad30971b83c17e2a24c0334cb45f808abebc87","210.437026138505459295","No"
"0xb4d3bea9d824c4dd7ded7ccc93e6212e3f0b186a","208.603723142392846047","No"
"0x1db5257f9f2c09554c0f40562e00ffbe3c517c60","208.28","No"
"0x51c545342bc34dcca5ded7991f34ef3a55067cf9","206.668708038624515171","No"
"0x92cc104121af987cb2fd205f61b51de15c1c0a9c","206.22776","No"
"0x39196b528a8f86258a0515285c6fb18872e4353a","200","No"
"0x0d195a01707c1baeca4de565d594f45259042c47","196.11271","No"
"0x0c608996dad70da46a9d807ef281c3faab8f1c8a","193.721582437808815413","No"
"0x2648d2f92bc55675128db8f7828f78187d934edd","193","No"
"0xd2343e1bf55f85b0f663f37eb67720a1e95072cc","186.336424095597953244","No"
"0x420a1a63983d0a86722facf9b74734e2e25dcc32","185","No"
"0x99576816d7e55bd7c00ab9b867835ae496c3efa9","180.025681555292206961","No"
"0x16b6f205d9fad0b57d42c7c09ee29e37df4cb7f7","177.65363325","No"
"0x5ac6720d12ef7cce95d8fb5c40590ce957c0d6f5","175.926087090990058496","No"
"0xf9965fd37c7f0e10f20ca7535a62d7db028a0478","174.909572389955221435","No"
"0x91d40e4818f4d4c57b4578d9eca6afc92ac8debe","174.7437486377","No"
"0x85560dbef2533eec139b3e206b119fd700f90262","173.454402014614896232","No"
"0x4bda20f52f88d4212d4a43d616dc1e39e376c47f","172.685869327947395298","No"
"0x5546174c0fde2dc85e4fd5d4e6e9c5af8d9569c3","171.774038797080784625","No"
"0xe1ddb8c1e2204a92febaa4dc7242590cb74359f1","165.675872281549957419","No"
"0x83d0d842e6db3b020f384a2af11bd14787bec8e7","163.850409990996513343","No"
"0x9a6752e6322cc1d42c555b8badc84295cb1011e2","163.449962106400552587","No"
"0xf7a5159085722718dc1276de5979df468975ec11","162.4358","No"
"0xc6755eec850e5c6c612a02dbf3618233caf48d9a","159.1121615416480853","No"
"0xfdb9f5e045d7326c1da87d0e199a05cde5378edd","158.078592458672599095","No"
"0xba13afecda9beb75de5c56bbaf696b880a5a50dd","157.20974164454940497","No"
"0x75e090366161c0a62e30502c83a27ed20bac3023","152.08591045","No"
"0xe431087d8069735462cbc1ea0c86278d43a47c1d","151.880978768871776155","No"
"0xb2a752f1840281ceef3da4594d785647555e7c44","150.63222","No"
"0xfe64e2717a8f1fef59cb5a43ac105ae414b6aaea","150","No"
"0x4a20d89c1334745fe9718aefbc8148be61011ede","150","No"
"0x7092020d4c6c26f6e06ee1e8cb5b34f9d14341c7","147.070020508033325341","No"
"0x9fbcb5a7d1132bf96e72268c24ef29b7433f7402","147.033310754309606402","No"
"0x5e98a7574e2b5856fc218d8d8349da2783371763","146.873617974985030021","No"
"0x9ad5da37fe76ff60d9dc1f080fddb46cb8b22308","143.4994738","No"
"0x43401c8725a55f6eece7170e13673beeda565348","140.000000000137274185","No"
"0x04900f014bd7652e763d3623828c1539cc918b0b","139.55","No"
"0x4583b6f8f54993d7c1ec016519e37d95d8a9c415","139.218232503490716223","No"
"0xda54e516f15461772e2f767cc85733d62ed77b93","137.235000920008248522","No"
"0x60dadc9450ea46f8d7416ebaffbbfd558891b39c","133.582781456953642384","No"
"0x7d44351ebd9627e7fb3ba8dec9216082cc280c61","130.00000553","No"
"0x180780c6eb0eedf020cf45e016c384be017d5f7a","130","No"
"0x3b95cc58b32c3d50db6f9bbbe46b4ae4128e97bc","127.457450208884420224","No"
"0x4756cee554da71957efe6404f0e6a6a05966d816","126.78001","No"
"0xc4de1a0f88b5e10bdef769830699c4f6191b4933","125","No"
"0x6c6329861efe407d44012e761fd4868530350ae2","124.92","No"
"0xa5add1b23a748c6ca6550ddcfc6ab8c40d384151","124.5726","No"
"0x845693c39d4c7866a0c9f10406bd9527b6bfaebc","122.358","No"
"0x1d871063e79e3ec3ab2e37813641a34a67e89838","121.470376771263108847","No"
"0x23e6bac4e1d1d10ab91e0760c8be74037e26d92b","120.19975658375154956","No"
"0x3a4dd62195f4dcc3d3c2517f2bc699594fe2cbb9","119.99931","No"
"0x5c9774ba9312de9bfa03f0eb8eb16b3dcbf92835","119.830907790530071929","No"
"0xd76960b227458f41e57f6d090b5d9e1ec5ff0dd9","116.24605381","No"
"0x73793485ddb4cfa66acee97db8e8238b61c9e0ef","116","No"
"0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf","115.395910124845881882","No"
"0x050263a0aa01fa1ee3cd4107e9efb9e7d37766d0","115.305222938512986283","No"
"0x2380e45eb243f685424c056543641fde4f8c7635","115.162846141235619079","No"
"0x925a2a86b400b7011e82de3a52404b9f83022c93","114.689905542437953233","No"
"0xe622ab3037beabd9e8724186853dc9b7df9db14d","114.59981289","No"
"0x65ec76a91f2394b6f7784c40c47effc8ba85f32b","113.476428340872013312","No"
"0x7b4410e524ef6490ed5d9722dd3c426ae599591d","110.2549","No"
"0x2c4bd064b998838076fa341a83d007fc2fa50957","109.636715267458849928","No"
"0x3eef5c5a6a46e2a6aa85f25e12bb82bc74005883","109.340997719999991","No"
"0x7d811128fe492ba24557f8e1c2cf3b0b83ce6573","108.453548962280014479","No"
"0xfb40ee2be8b2e48ab3908dc9a5b0412a9dcc9324","108.183713391847456141","No"
"0x5c5a4ae893c4232a050b01a84e193e107dd80ca2","107.78694798","No"
"0x52f40eab32ed1d5126374c9bff80d6e6d34b45db","107.142560948346932491","No"
"0xcb042d9744f213bda102506afeef505c24de684a","107.06681642","No"
"0x07d960a4a211f3b87abce49d3b55d08dd96ee641","106.398228424235244499","No"
"0x7f5fd2fdf69394a48d1a61b186fec8f9b0d7b34b","106.19","No"
"0x83084d760e0b2a156f5db3fa20f9fc965b3c0046","105.002906810919071822","No"
"0x7112298d665955b8a6bcb632d227e8ffdf051e49","105","No"
"0x9e55bdca4fa2e63f4701cf0ae0c6a930ca2787f3","103.021775555833434859","No"
"0x041c5c81b88a1ea97b6cd70935275045990a8ef9","102.881314751351749108","No"
"0xf0f51f50565c1a4ea9889ba9dfd2afa4defb6d9f","102.567626210293659059","No"
"0x1797a8058951ceab2089ab3d0d546aa91720fd32","102.462321086243534565","No"
"0xb23360ccdd9ed1b15d45e5d3824bb409c8d7c460","102.23862132","No"
"0xe867cc15f6d6839d1e479041fda51ffc6db764e6","101.426639","No"
"0xd0b20d1d9c2abefbae785c7a5a024965955b38fa","101.403474225173237181","No"
"0x3b29c6e356f9445b693abb5df42fbc932062e0fb","101.327294270052893687","No"
"0xe5216ea46ac5c73213d0fffd9627b861ef8455e0","100.9896","No"
"0xc75441d085d73983d8659635251dcf528dfb9be2","100.572774429218793799","No"
"0xdfae96e7d6549c3ff224a31d5342a42502001af4","100.49","No"
"0x3e6288bc299dac35d293949e08faae61547d297d","100.180138591745359716","No"
"0x05adbafe18fcbf8c6671e094aadd9bcba4dd91e8","100.002953282615614314","No"
"0x1a7665ac30765bf4b6f3a4b6538ee702a9025704","100","No"
"0x00707aa2eeff1ddb8b22bd1539f92818c9cb8a85","100.0000000000000002","No"
"0xfbcb8155817f4d8802645c70e0e16dde80a06676","100","No"
"0x8ccab267b1bef4d1590c14e9d369157c5db1f383","99.999","No"
"0x9c557d9639c71b7fa679909fdbe4810610bdd8bc","99.144","No"
"0xd09049ac6c35b039994297ada5f00b6e1a1944bc","97","No"
"0xc451e2e6c1483a04d0490f7585237e2170dff6d9","95.42","No"
"0x2a45907f94df93388801ae72fe810eac75926a1d","94.015576699999997896","No"
"0x3b5677595284dafba92320dc3c64e9cd08046907","93.658546330790178948","No"
"0xe3b08693ec68972797f95134f31faa745344b9c5","93.2029971493193374","No"
