tx,block,actor,contract,event,status,day
0x561cd257b5232b8567b0f557ac550d305dd15a8b7dfbb9771efd46b2f556dac1,22213017,0x6b27a8AB1bf2F169F694C122CF0c5B0e832AB46a,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Success,2025-04-06
0xaf20eb542e7dfba49ca642981f1d42c3c8169c5edad7446c3d574c92b2115d92,22213015,0xeD96C177eB097d9C6B547116262391D36947eC81,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Success,2025-04-06
0x8349308a1ca8f382b21ebb86b2886569dced9782d74f2acc1b34e64486ce7c82,22213012,0xF078969E55caBF9AE3f26afeB5EC627B4430f19E,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Success,2025-04-06
0xb9fdec3529d743c633261b7aac216b61c398e0956ac3b0c5cfb513e2f20cde4d,22212789,0xF078969E55caBF9AE3f26afeB5EC627B4430f19E,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Success,2025-04-06
0xa7f5c46248508e1977c08807cdc120b3f5e10b2a72a04eaf3c47765c14815385,22211917,0x8BEcf1350Ab27c9Bd677fE8Fc9898Bed1D5AD3E3,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Success,2025-04-06
0xfef479849ccb95c47f12cffab305c563b78dbfdd136070f44d8234821ca09157,22188915,0x8BEcf1350Ab27c9Bd677fE8Fc9898Bed1D5AD3E3,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Error in Txn,2025-04-03
0xcee41e40898a10309571f93328537308b28fe823b5219f8fed801eebd4152c86,22161749,0x8BEcf1350Ab27c9Bd677fE8Fc9898Bed1D5AD3E3,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Error in Txn,2025-03-30
0xe434414ec415301e9707e942299b1394a6d86b6d62ccad9a49d65f87d0a5398f,22133410,0x8BEcf1350Ab27c9Bd677fE8Fc9898Bed1D5AD3E3,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Error in Txn,2025-03-26
0x2cf038813fe204ad9e0c9053c0d35d8cd035e5a01bee6b00b56bbc80b35f3d90,21975231,0x8BEcf1350Ab27c9Bd677fE8Fc9898Bed1D5AD3E3,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Success,2025-03-04
0xf6a1ee20f8a896de553ddd81d53ce2e24fda999b11e1d9876d340f7a8383a789,20457212,0x8BEcf1350Ab27c9Bd677fE8Fc9898Bed1D5AD3E3,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Error in Txn,2024-08-04
